County,Count
King County,25581
Snohomish County,6060
Pierce County,2005
Clark County,1260
Spokane County,967
Thurston County,597
Benton County,563
Whatcom County,430
Kitsap County,213
Yakima County,209
Whitman County,96
Skagit County,78
Cowlitz County,68
Franklin County,61
Chelan County,55
Island County,53
Grant County,46
Clallam County,37
Kittitas County,37
Walla Walla County,37
Lewis County,28
Mason County,27
Grays Harbor County,22
Douglas County,20
Jefferson County,18
Okanogan County,14
Stevens County,12
San Juan County,10
Skamania County,7
Klickitat County,5
Pacific County,5
Adams County,3
Ferry County,2
Lincoln County,2
Columbia County,1
Garfield County,1
Pend Oreille County,1
Wahkiakum County,1
,
,
TOTAL,38632
