zip,city,county_name
98001,Auburn,King County
98002,Auburn,King County
98003,Federal Way,King County
98004,Bellevue,King County
98005,Bellevue,King County
98006,Bellevue,King County
98007,Bellevue,King County
98008,Bellevue,King County
98010,Black Diamond,King County
98011,Bothell,King County
98012,Bothell,Snohomish County
98014,Carnation,King County
98019,Duvall,King County
98020,Edmonds,Snohomish County
98021,Bothell,Snohomish County
98022,Enumclaw,King County
98023,Federal Way,King County
98024,Fall City,King County
98025,Hobart,King County
98026,Edmonds,Snohomish County
98027,Issaquah,King County
98028,Kenmore,King County
98029,Issaquah,King County
98030,Kent,King County
98031,Kent,King County
98032,Kent,King County
98033,Kirkland,King County
98034,Kirkland,King County
98036,Lynnwood,Snohomish County
98037,Lynnwood,Snohomish County
98038,Maple Valley,King County
98039,Medina,King County
98040,Mercer Island,King County
98042,Kent,King County
98043,Mountlake Terrace,Snohomish County
98045,North Bend,King County
98047,Pacific,King County
98050,Preston,King County
98051,Ravensdale,King County
98052,Redmond,King County
98053,Redmond,King County
98055,Renton,King County
98056,Renton,King County
98057,Renton,King County
98058,Renton,King County
98059,Renton,King County
98065,Snoqualmie,King County
98068,Snoqualmie Pass,Kittitas County
98070,Vashon,King County
98072,Woodinville,King County
98074,Sammamish,King County
98075,Sammamish,King County
98077,Woodinville,King County
98087,Lynnwood,Snohomish County
98092,Auburn,King County
98101,Seattle,King County
98102,Seattle,King County
98103,Seattle,King County
98104,Seattle,King County
98105,Seattle,King County
98106,Seattle,King County
98107,Seattle,King County
98108,Seattle,King County
98109,Seattle,King County
98110,Bainbridge Island,Kitsap County
98112,Seattle,King County
98115,Seattle,King County
98116,Seattle,King County
98117,Seattle,King County
98118,Seattle,King County
98119,Seattle,King County
98121,Seattle,King County
98122,Seattle,King County
98125,Seattle,King County
98126,Seattle,King County
98133,Seattle,King County
98134,Seattle,King County
98136,Seattle,King County
98144,Seattle,King County
98146,Seattle,King County
98148,Seattle,King County
98154,Seattle,King County
98155,Seattle,King County
98158,Seattle,King County
98164,Seattle,King County
98166,Seattle,King County
98168,Seattle,King County
98174,Seattle,King County
98177,Seattle,King County
98178,Seattle,King County
98188,Seattle,King County
98195,Seattle,King County
98198,Seattle,King County
98199,Seattle,King County
98201,Everett,Snohomish County
98203,Everett,Snohomish County
98204,Everett,Snohomish County
98207,Everett,Snohomish County
98208,Everett,Snohomish County
98220,Acme,Whatcom County
98221,Anacortes,Skagit County
98222,Blakely Island,San Juan County
98223,Arlington,Snohomish County
98224,Baring,King County
98225,Bellingham,Whatcom County
98226,Bellingham,Whatcom County
98229,Bellingham,Whatcom County
98230,Blaine,Whatcom County
98232,Bow,Skagit County
98233,Burlington,Skagit County
98235,Clearlake,Skagit County
98236,Clinton,Island County
98237,Concrete,Skagit County
98238,Conway,Skagit County
98239,Coupeville,Island County
98240,Custer,Whatcom County
98241,Darrington,Snohomish County
98243,Deer Harbor,San Juan County
98244,Deming,Whatcom County
98245,Eastsound,San Juan County
98247,Everson,Whatcom County
98248,Ferndale,Whatcom County
98249,Freeland,Island County
98250,Friday Harbor,San Juan County
98251,Gold Bar,Snohomish County
98252,Granite Falls,Snohomish County
98253,Greenbank,Island County
98255,Hamilton,Skagit County
98256,Index,Snohomish County
98257,La Conner,Skagit County
98258,Lake Stevens,Snohomish County
98260,Langley,Island County
98261,Lopez Island,San Juan County
98262,Lummi Island,Whatcom County
98263,Lyman,Skagit County
98264,Lynden,Whatcom County
98266,Maple Falls,Whatcom County
98267,Marblemount,Skagit County
98270,Marysville,Snohomish County
98271,Marysville,Snohomish County
98272,Monroe,Snohomish County
98273,Mount Vernon,Skagit County
98274,Mount Vernon,Skagit County
98275,Mukilteo,Snohomish County
98276,Nooksack,Whatcom County
98277,Oak Harbor,Island County
98278,Oak Harbor,Island County
98279,Olga,San Juan County
98280,Orcas,San Juan County
98281,Point Roberts,Whatcom County
98282,Camano Island,Island County
98283,Rockport,Whatcom County
98284,Sedro Woolley,Skagit County
98286,Shaw Island,San Juan County
98288,Skykomish,King County
98290,Snohomish,Snohomish County
98292,Stanwood,Snohomish County
98294,Sultan,Snohomish County
98295,Sumas,Whatcom County
98296,Snohomish,Snohomish County
98297,Waldron,San Juan County
98303,Anderson Island,Pierce County
98304,Ashford,Pierce County
98305,Beaver,Clallam County
98310,Bremerton,Kitsap County
98311,Bremerton,Kitsap County
98312,Bremerton,Kitsap County
98314,Bremerton,Kitsap County
98315,Silverdale,Kitsap County
98320,Brinnon,Jefferson County
98321,Buckley,Pierce County
98323,Carbonado,Pierce County
98325,Chimacum,Jefferson County
98326,Clallam Bay,Clallam County
98327,Dupont,Pierce County
98328,Eatonville,Pierce County
98329,Gig Harbor,Pierce County
98330,Elbe,Pierce County
98331,Forks,Jefferson County
98332,Gig Harbor,Pierce County
98333,Fox Island,Pierce County
98335,Gig Harbor,Pierce County
98336,Glenoma,Lewis County
98337,Bremerton,Kitsap County
98338,Graham,Pierce County
98339,Port Hadlock,Jefferson County
98340,Hansville,Kitsap County
98342,Indianola,Kitsap County
98345,Keyport,Kitsap County
98346,Kingston,Kitsap County
98349,Lakebay,Pierce County
98350,La Push,Clallam County
98351,Longbranch,Pierce County
98353,Manchester,Kitsap County
98354,Milton,Pierce County
98355,Mineral,Lewis County
98356,Morton,Lewis County
98357,Neah Bay,Clallam County
98358,Nordland,Jefferson County
98359,Olalla,Kitsap County
98360,Orting,Pierce County
98361,Packwood,Lewis County
98362,Port Angeles,Clallam County
98363,Port Angeles,Clallam County
98364,Port Gamble,Kitsap County
98365,Port Ludlow,Jefferson County
98366,Port Orchard,Kitsap County
98367,Port Orchard,Kitsap County
98368,Port Townsend,Jefferson County
98370,Poulsbo,Kitsap County
98371,Puyallup,Pierce County
98372,Puyallup,Pierce County
98373,Puyallup,Pierce County
98374,Puyallup,Pierce County
98375,Puyallup,Pierce County
98376,Quilcene,Jefferson County
98377,Randle,Lewis County
98380,Seabeck,Kitsap County
98381,Sekiu,Clallam County
98382,Sequim,Clallam County
98383,Silverdale,Kitsap County
98385,South Prairie,Pierce County
98387,Spanaway,Pierce County
98388,Steilacoom,Pierce County
98390,Sumner,Pierce County
98391,Bonney Lake,Pierce County
98392,Suquamish,Kitsap County
98394,Vaughn,Pierce County
